lon,lat,PGA-0.0137,PGA-0.0098,PGA-0.0021,PGA-0.001,PGA-0.0003,PGA-0.0001,SA(0.3)-0.0137,SA(0.3)-0.0098,SA(0.3)-0.0021,SA(0.3)-0.001,SA(0.3)-0.0003,SA(0.3)-0.0001,SA(0.6)-0.0137,SA(0.6)-0.0098,SA(0.6)-0.0021,SA(0.6)-0.001,SA(0.6)-0.0003,SA(0.6)-0.0001,SA(1.0)-0.0137,SA(1.0)-0.0098,SA(1.0)-0.0021,SA(1.0)-0.001,SA(1.0)-0.0003,SA(1.0)-0.0001,SA(1.5)-0.0137,SA(1.5)-0.0098,SA(1.5)-0.0021,SA(1.5)-0.001,SA(1.5)-0.0003,SA(1.5)-0.0001
22.87978,40.66523,0.149,0.183,0.406,0.547,0.757,0.937,0.28,0.35,0.79,1.1,1.55,1.93,0.16,0.19,0.44,0.62,0.92,1.18,0.09,0.11,0.24,0.34,0.51,0.65,0.06,0.07,0.15,0.21,0.31,0.41
22.88978,40.69523,0.142,0.176,0.385,0.515,0.706,0.865,0.27,0.33,0.76,1.04,1.47,1.89,0.14,0.18,0.41,0.59,0.88,1.15,0.08,0.1,0.22,0.32,0.49,0.62,0.05,0.06,0.14,0.2,0.29,0.38
22.88978,40.68523,0.145,0.179,0.393,0.527,0.726,0.893,0.28,0.34,0.77,1.07,1.49,1.89,0.15,0.18,0.42,0.61,0.91,1.18,0.08,0.1,0.23,0.33,0.5,0.64,0.05,0.07,0.14,0.21,0.3,0.39
22.88978,40.67523,0.153,0.187,0.413,0.556,0.766,0.948,0.29,0.36,0.81,1.12,1.58,1.97,0.16,0.2,0.46,0.65,0.97,1.26,0.09,0.11,0.25,0.36,0.54,0.7,0.06,0.07,0.16,0.22,0.34,0.43
22.89978,40.68523,0.142,0.176,0.383,0.516,0.708,0.868,0.27,0.33,0.75,1.03,1.46,1.88,0.14,0.18,0.41,0.6,0.88,1.14,0.08,0.1,0.22,0.33,0.49,0.62,0.05,0.06,0.14,0.2,0.29,0.38
22.90978,40.68523,0.139,0.172,0.373,0.503,0.686,0.841,0.26,0.32,0.74,1.01,1.46,1.88,0.14,0.17,0.4,0.58,0.86,1.1,0.08,0.09,0.22,0.32,0.47,0.6,0.05,0.06,0.13,0.19,0.28,0.37
22.91978,40.68523,0.14,0.173,0.374,0.503,0.684,0.842,0.26,0.32,0.74,1.01,1.5,1.93,0.14,0.17,0.41,0.59,0.86,1.12,0.08,0.09,0.22,0.32,0.47,0.6,0.05,0.06,0.13,0.19,0.29,0.38
22.92978,40.68523,0.142,0.175,0.377,0.504,0.685,0.858,0.27,0.33,0.74,1.04,1.54,1.97,0.14,0.17,0.42,0.6,0.87,1.13,0.08,0.09,0.23,0.33,0.47,0.61,0.05,0.06,0.14,0.2,0.29,0.38
22.93978,40.70523,0.142,0.176,0.371,0.496,0.703,0.898,0.27,0.33,0.75,1.08,1.57,1.97,0.14,0.17,0.42,0.59,0.87,1.13,0.08,0.09,0.23,0.32,0.47,0.62,0.05,0.06,0.14,0.19,0.28,0.37
22.93978,40.69523,0.141,0.175,0.371,0.496,0.698,0.883,0.26,0.33,0.74,1.06,1.56,1.96,0.14,0.17,0.42,0.6,0.87,1.12,0.08,0.09,0.23,0.32,0.47,0.61,0.05,0.06,0.13,0.19,0.28,0.37
